Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
394,7.855,1,0.011324862,3,189.6188,2,2007,1,1,1,2285.0256
1552,7.825,3,0.186357148,9,254.3698,9,1999,1,0,1,5580.7356
254,8.39,2,0.024205661,5,114.0176,8,1997,2,0,1,2290.352
781,12.85,1,0.033230816,13,172.3422,9,1999,1,0,1,1207.0954
682,12.792854228644284,1,0.113720344,0,89.9804,4,1985,2,0,0,643.1628
582,19.0,1,0.112556507,5,104.9622,2,2007,1,1,1,1587.933
1037,5.905,1,0.0,3,222.5456,7,2002,1,1,1,5305.0944
316,7.76,1,0.059352241,13,101.87,8,1997,2,0,1,1697.79
656,11.8,4,0.014087057,5,180.3344,8,1997,2,0,1,1427.4752
1053,16.75,3,0.045230944,13,187.9556,3,2009,1,2,2,4693.89
1379,12.792854228644284,1,0.293417759,9,194.6136,4,1985,2,0,0,583.2408
829,12.792854228644284,2,0.031382044,0,171.3764,5,1985,1,2,3,3091.9752
404,15.5,2,0.12639886,6,177.0028,2,2007,1,1,1,2479.4392
1258,6.055,1,0.025403898,6,160.992,6,2004,2,1,1,2716.464
811,12.792854228644284,2,0.039057677,2,155.963,5,1985,1,2,3,3285.723
674,6.305,2,0.123115764,13,95.6436,8,1997,2,0,1,661.8052
670,20.85,1,0.039624006,10,117.2808,9,1999,1,0,1,1523.3504
1082,20.75,1,0.040421193,6,122.173,0,1998,1,2,0,369.519
57,8.895,1,0.105274111,4,39.9138,9,1999,1,0,1,690.4346
82,19.6,1,0.033970195,14,55.1614,7,2002,1,1,1,1381.535
178,19.7,1,0.053212652,6,57.893,6,2004,2,1,1,622.523
1468,9.8,1,0.024378706,8,114.5492,6,2004,2,1,1,1274.3412
970,12.792854228644284,1,0.009714595,5,120.0414,4,1985,2,0,0,487.3656
382,12.15,1,0.131383762,5,246.046,9,1999,1,0,1,1231.73
231,8.75,2,0.07461309,6,187.4556,6,2004,2,1,1,3755.112
1442,12.792854228644284,1,0.028459761,9,149.9708,5,1985,1,2,3,4363.6532
231,8.75,2,0.074627201,6,187.8556,8,1997,2,0,1,1314.2892
940,13.3,1,0.063695084,5,151.0708,7,2002,1,1,1,1805.6496
284,12.792854228644284,2,0.045797829,13,178.5344,5,1985,1,2,3,2854.9504
1113,8.31,2,0.115857223,13,179.1028,9,1999,1,0,1,3896.2616
7,16.75,2,0.024832806,14,38.7822,1,1987,0,2,1,667.7974
737,19.75,1,0.034027909,13,212.0902,3,2009,1,2,2,3185.853
438,17.1,2,0.0467696,3,141.1838,1,1987,0,2,1,2247.7408
181,10.5,2,0.116576702,0,163.121,1,1987,0,2,1,1794.331
400,6.635,2,0.0,0,121.3098,7,2002,1,1,1,2530.7058
36,12.792854228644284,3,0.278974075,14,225.372,4,1985,2,0,0,679.116
111,14.15,1,0.035913805,14,41.4138,1,1987,0,2,1,812.276
279,13.3,1,0.079806266,4,232.53,8,1997,2,0,1,699.09
910,8.89,3,0.005505481,5,102.4016,2,2007,1,1,1,2732.4432
1099,12.792854228644284,2,0.064625342,10,176.937,4,1985,2,0,0,176.437
1144,12.792854228644284,1,0.071636937,13,121.7098,5,1985,1,2,3,4097.3332
1025,9.1,2,0.0,1,173.2054,7,2002,1,1,1,3151.8972
288,7.5,1,0.032677678,5,239.0906,9,1999,1,0,1,5942.265
1228,16.85,2,0.160760054,5,192.4478,2,2007,1,1,1,4843.695
1251,7.485,1,0.06911065,13,109.0228,6,2004,2,1,1,2542.0244
0,11.6,1,0.041177505,14,140.3154,2,2007,1,1,1,2552.6772
1213,11.65,1,0.040081193,13,227.0694,3,2009,1,2,2,1141.847
1317,13.0,1,0.035307322,9,47.5034,2,2007,1,1,1,680.4476
91,12.65,0,0.063017847,14,159.0578,7,2002,1,1,1,2085.9514
200,20.25,2,0.171938781,3,92.512,0,1998,1,2,0,186.424
528,8.6,2,0.040197932,3,190.153,6,2004,2,1,1,3036.048
1075,12.6,1,0.049058014,1,62.7194,2,2007,1,1,1,866.8716
605,17.7,1,0.01161096,5,95.041,6,2004,2,1,1,868.869
86,14.15,1,0.183507295,14,82.4276,8,1997,2,0,1,1137.1864
1048,19.25,1,0.102349519,4,52.7956,2,2007,1,1,1,928.1252
55,8.88,1,0.086708987,7,151.7682,1,1987,0,2,1,762.341
1444,20.5,1,0.032835147,9,40.2822,7,2002,1,1,1,707.0796
1186,12.792854228644284,1,0.033809913,3,180.5976,5,1985,1,2,3,7968.2944
1340,13.5,1,0.07266912,9,160.292,8,1997,2,0,1,1438.128
1476,12.792854228644284,1,0.144338493,8,224.4404,5,1985,1,2,3,6976.2524
910,8.89,1,0.009163216,5,101.7016,0,1998,1,2,0,101.2016
394,7.855,1,0.011307038,3,188.5188,3,2009,1,2,2,952.094
1428,7.235,1,0.076855628,9,116.0492,8,1997,2,0,1,1969.4364
453,12.792854228644284,1,0.059956876,15,165.4526,5,1985,1,2,3,5262.4832
228,6.92,1,0.038532062,4,60.5852,7,2002,1,1,1,1314.2892
1152,9.3,1,0.043209581,6,90.8172,2,2007,1,1,1,535.3032
1407,18.5,1,0.056816465,11,132.1284,0,1998,1,2,0,263.6568
1289,8.02,1,0.019866705,9,154.5972,6,2004,2,1,1,1402.1748
1538,9.195,1,0.048331717,9,105.1622,2,2007,1,1,1,1693.7952
1436,12.8,1,0.091221855,11,105.5938,7,2002,1,1,1,2143.876
1288,16.6,1,0.027622076,9,177.6344,9,1999,1,0,1,2676.516
479,14.0,2,0.0,5,53.064,6,2004,2,1,1,905.488
743,18.6,1,0.039355947,5,246.3802,9,1999,1,0,1,7370.406
198,16.0,1,0.060836524,15,226.8404,6,2004,2,1,1,6301.1312
1274,17.6,1,0.082316506,8,160.692,6,2004,2,1,1,1597.92
179,21.25,1,0.155350299,13,178.237,6,2004,2,1,1,529.311
1428,7.235,1,0.076841095,9,117.5492,6,2004,2,1,1,1969.4364
94,14.6,1,0.151419185,14,50.3692,2,2007,1,1,1,1034.6532
843,13.85,4,0.026001976,5,161.521,3,2009,1,2,2,1794.331
470,13.65,2,0.073209447,5,197.6426,3,2009,1,2,2,2768.3964
104,12.792854228644284,1,0.041683481,14,31.29,5,1985,1,2,3,898.83
1132,7.365,1,0.042560252,6,226.172,8,1997,2,0,1,3169.208
1344,18.35,1,0.014081156,9,223.5746,3,2009,1,2,2,3589.9936
216,5.465,2,0.0,0,132.5626,3,2009,1,2,2,262.3252
661,18.6,1,0.152918384,2,99.8358,2,2007,1,1,1,1910.1802
20,13.85,1,0.030969274,14,140.9154,2,2007,1,1,1,1701.7848
797,14.0,2,0.060376776,5,154.5656,1,1987,0,2,1,2471.4496
631,14.0,2,0.04192285,13,54.764,1,1987,0,2,1,1331.6
824,12.792854228644284,1,0.077367431,6,97.0094,5,1985,1,2,3,1808.9786
1037,5.905,1,0.045838211,3,222.5456,3,2009,1,2,2,3315.684
47,7.27,1,0.071077939,14,114.2518,8,1997,2,0,1,2618.5914
1109,6.155,2,0.094659871,10,214.556,8,1997,2,0,1,2769.728
113,19.5,2,0.077608838,14,233.4958,2,2007,1,1,1,5375.0034
750,15.2,1,0.021327477,3,216.8824,2,2007,1,1,1,2838.9712
611,12.15,2,0.042485444,3,125.0046,3,2009,1,2,2,1743.0644
1278,12.792854228644284,1,0.025578526,9,198.8084,5,1985,1,2,3,5555.4352
1075,12.6,1,0.0489808,1,61.9194,3,2009,1,2,2,619.194
1401,14.5,1,0.019471688,11,164.821,6,2004,2,1,1,2120.573
568,16.6,1,0.122918852,6,173.0738,2,2007,1,1,1,3823.0236
627,11.8,2,0.057373797,10,151.4366,1,1987,0,2,1,1360.2294
892,13.1,2,0.044155597,6,178.8318,1,1987,0,2,1,3969.4996
488,17.7,1,0.291865402,6,115.1834,0,1998,1,2,0,345.5502
857,17.85,0,0.0,1,196.5794,0,1998,1,2,0,585.2382
215,12.3,2,0.064750025,15,92.6804,7,2002,1,1,1,1010.6844
1499,11.8,1,0.098312421,8,81.4618,0,1998,1,2,0,161.1236
142,12.792854228644284,2,0.191013663,14,42.1112,4,1985,2,0,0,42.6112
707,11.1,1,0.176573035,0,157.4604,7,2002,1,1,1,3010.7476
797,12.792854228644284,2,0.060134441,5,153.0656,5,1985,1,2,3,6024.1584
1049,11.3,1,0.007294652,10,198.1426,7,2002,1,1,1,988.713
1426,12.792854228644284,1,0.128478462,8,117.944,4,1985,2,0,0,239.688
1008,5.75,2,0.075107656,4,112.8176,1,1987,0,2,1,1374.2112
926,12.792854228644284,2,0.049381406,0,226.8062,5,1985,1,2,3,4739.8302
578,11.35,2,0.045165796,13,100.0016,3,2009,1,2,2,1012.016
694,12.792854228644284,2,0.09415375,6,165.7526,4,1985,2,0,0,657.8104
1523,14.0,1,0.028907832,8,130.431,9,1999,1,0,1,778.986
319,19.75,2,0.018059621,5,179.766,7,2002,1,1,1,2336.958
1277,6.525,1,0.090436094,9,85.0882,9,1999,1,0,1,2233.0932
1029,10.3,1,0.146399712,10,103.9648,9,1999,1,0,1,1661.8368
616,5.78,2,0.074264356,13,264.7568,9,1999,1,0,1,4745.8224
150,11.85,2,0.050186726,6,164.1526,7,2002,1,1,1,3124.5994
951,16.35,1,0.020631654,6,50.1324,3,2009,1,2,2,467.3916
1530,12.792854228644284,1,0.01561108,9,182.5976,5,1985,1,2,3,5070.7328
932,10.5,1,0.041395445,6,37.6164,8,1997,2,0,1,540.6296
221,19.0,2,0.097313129,5,48.0718,8,1997,2,0,1,992.7078
1420,14.6,1,0.059582996,11,238.8538,9,1999,1,0,1,6008.845
343,12.792854228644284,2,0.098663652,4,62.9194,5,1985,1,2,3,2105.2596
1157,12.792854228644284,4,0.101338651,3,232.63,5,1985,1,2,3,5359.69
1402,18.75,1,0.052146456,8,104.628,7,2002,1,1,1,745.696
340,5.26,2,0.041764487,0,161.8868,6,2004,2,1,1,3275.736
688,18.25,1,0.054344186,13,140.2154,7,2002,1,1,1,1701.7848
484,12.792854228644284,1,0.078362484,0,177.937,5,1985,1,2,3,6704.606
480,15.1,1,0.052339069,10,242.7512,8,1997,2,0,1,4119.9704
371,15.5,2,0.042464962,0,81.5934,0,1998,1,2,0,327.5736
424,13.65,1,0.065732883,5,45.7402,9,1999,1,0,1,780.9834
44,16.1,0,0.023625114,14,189.3846,7,2002,1,1,1,3630.6074
903,12.792854228644284,2,0.051643608,13,107.3622,4,1985,2,0,0,317.5866
1150,12.85,1,0.165694219,5,39.7164,0,1998,1,2,0,231.6984
104,9.5,0,0.041878397,14,32.99,6,2004,2,1,1,133.16
13,13.8,1,0.058091482,4,245.1802,6,2004,2,1,1,5650.6446
616,5.78,2,0.0,13,263.7568,2,2007,1,1,1,2636.568
1298,19.7,1,0.026903714,9,96.0726,7,2002,1,1,1,1272.3438
1558,14.65,1,0.0,9,161.5552,0,1998,1,2,0,324.9104
323,6.67,2,0.150554711,13,130.0626,0,1998,1,2,0,131.1626
854,6.11,2,0.0,6,131.2968,0,1998,1,2,0,260.9936
753,13.65,2,0.134975628,5,260.0936,0,1998,1,2,0,260.9936
1129,17.2,1,0.15616879,10,160.6578,1,1987,0,2,1,3690.5294
175,6.32,0,0.0,10,40.2822,6,2004,2,1,1,1139.1838
1185,4.88,2,0.133700752,0,52.9298,9,1999,1,0,1,1995.4026
277,5.425,2,0.115119905,0,88.3514,2,2007,1,1,1,1416.8224
448,15.85,2,0.110030997,5,37.2506,8,1997,2,0,1,265.6542
937,7.5,1,0.051038045,3,121.7072,2,2007,1,1,1,3552.7088
91,12.65,1,0.062837968,14,161.5578,1,1987,0,2,1,2406.867
1424,12.792854228644284,1,0.017116983,11,211.956,4,1985,2,0,0,213.056
1082,20.75,1,0.024129332,6,124.173,1,1987,0,2,1,2956.152
43,12.792854228644284,1,0.049754975,4,152.134,4,1985,2,0,0,153.134
907,9.0,1,0.0,3,79.7644,6,2004,2,1,1,1649.8524
1137,12.792854228644284,1,0.101561568,3,181.9292,5,1985,1,2,3,3101.2964
1536,12.792854228644284,1,0.005949644,9,165.6526,5,1985,1,2,3,4769.1254
413,12.792854228644284,2,0.13956116,12,170.4764,5,1985,1,2,3,3435.528
614,14.1,1,0.126035694,6,86.4198,7,2002,1,1,1,1133.8574
365,7.55,1,0.027164679,3,152.334,6,2004,2,1,1,2603.278
1294,13.0,1,0.099325278,9,45.406,8,1997,2,0,1,605.878
126,12.792854228644284,1,0.04357366,7,192.8846,5,1985,1,2,3,2293.0152
904,12.792854228644284,2,0.082741482,13,118.7782,4,1985,2,0,0,119.1782
215,12.3,2,0.064565202,15,92.9804,1,1987,0,2,1,1929.4884
1133,12.792854228644284,0,0.084554569,13,109.8912,5,1985,1,2,3,2074.6328
1499,12.792854228644284,1,0.058451805,8,79.9618,5,1985,1,2,3,241.6854
1472,17.25,1,0.113748685,9,251.3724,7,2002,1,1,1,6795.1548
1469,15.85,1,0.020603511,9,42.7112,2,2007,1,1,1,639.168
1505,18.85,1,0.052044976,8,192.1846,6,2004,2,1,1,3248.4382
1211,16.35,2,0.062764429,6,227.6062,2,2007,1,1,1,7222.5984
100,14.1,1,0.087977262,4,229.0668,6,2004,2,1,1,3225.1352
553,7.905,1,0.010010425,13,249.0408,6,2004,2,1,1,3755.112
1186,12.0,1,0.033946163,3,179.3976,1,1987,0,2,1,3440.8544
1002,12.15,2,0.058414678,6,163.4552,6,2004,2,1,1,974.7312
606,10.1,1,0.027106459,10,75.367,9,1999,1,0,1,535.969
359,17.5,1,0.027022883,5,262.491,2,2007,1,1,1,5259.82
40,12.792854228644284,1,0.058153409,4,152.034,4,1985,2,0,0,306.268
591,17.1,1,0.128937661,6,112.3886,3,2009,1,2,2,1779.0176
1042,7.785,1,0.088846306,6,61.451,9,1999,1,0,1,759.012
526,11.8,2,0.09357779,13,125.9704,1,1987,0,2,1,1877.556
397,13.15,2,0.165694678,6,171.8764,7,2002,1,1,1,3779.0808
777,12.792854228644284,1,0.148392623,5,41.5796,4,1985,2,0,0,41.2796
1077,8.5,1,0.098438394,3,51.1324,2,2007,1,1,1,259.662
1343,8.645,1,0.143303291,8,96.341,1,1987,0,2,1,193.082
1169,17.6,2,0.076276208,10,110.9202,7,2002,1,1,1,1687.803
877,9.1,1,0.175103435,0,127.5362,2,2007,1,1,1,4655.9394
538,12.8,2,0.023511371,10,225.9404,1,1987,0,2,1,4950.8888
102,7.63,1,0.06105276,14,95.4436,6,2004,2,1,1,1418.154
409,9.285,2,0.049559042,5,246.4144,2,2007,1,1,1,1225.072
1197,13.6,2,0.119418124,4,231.03,7,2002,1,1,1,5359.69
653,8.895,1,0.072545601,2,176.237,7,2002,1,1,1,1764.37
1477,16.35,1,0.090486828,9,195.211,1,1987,0,2,1,2553.343
410,17.6,1,0.056245075,5,43.3454,1,1987,0,2,1,1006.6896
407,7.975,1,0.014618973,0,85.225,1,1987,0,2,1,1081.925
429,15.85,1,0.043479126,15,36.7164,2,2007,1,1,1,308.9312
635,15.7,1,0.045166237,5,178.666,1,1987,0,2,1,2516.724
1070,8.985,2,0.057827101,5,128.831,8,1997,2,0,1,1428.141
889,20.35,1,0.089394766,4,260.1594,1,1987,0,2,1,2093.2752
815,6.59,1,0.10550944,6,85.6908,1,1987,0,2,1,1929.4884
573,19.85,1,0.005234153,4,264.0884,6,2004,2,1,1,5829.7448
593,16.85,1,0.036390174,13,91.4488,8,1997,2,0,1,2082.6224
441,12.792854228644284,1,0.03292824,10,173.1738,5,1985,1,2,3,7298.4996
1210,16.75,1,0.081252534,6,256.4988,1,1987,0,2,1,7452.9652
1169,17.6,2,0.076552407,10,110.5202,2,2007,1,1,1,450.0808
553,7.905,1,0.016758569,13,250.4408,0,1998,1,2,0,500.6816
1223,12.792854228644284,1,0.044248175,13,126.202,5,1985,1,2,3,3668.558
1239,7.785,2,0.038288087,6,103.1964,3,2009,1,2,2,736.3748
1552,7.825,1,0.186032678,9,253.0698,6,2004,2,1,1,6088.0752
1315,12.792854228644284,1,0.031867464,9,101.0016,5,1985,1,2,3,2125.2336
35,20.75,1,0.021370201,14,153.0024,2,2007,1,1,1,2277.036
511,12.792854228644284,1,0.193772568,6,190.3846,4,1985,2,0,0,573.2538
949,6.26,2,0.009866049,10,151.1366,6,2004,2,1,1,2267.049
321,18.2,1,0.082551042,6,147.3734,0,1998,1,2,0,296.9468
1294,13.0,1,0.099729888,9,46.306,3,2009,1,2,2,559.272
232,20.25,2,0.018801549,6,222.1772,6,2004,2,1,1,5559.43
1498,8.695,1,0.119721451,9,95.5094,9,1999,1,0,1,1237.7222
47,7.27,1,0.071222087,14,113.5518,7,2002,1,1,1,569.259
633,12.792854228644284,2,0.060371962,2,174.0712,5,1985,1,2,3,3866.9664
368,12.85,3,0.033287541,6,198.4768,7,2002,1,1,1,1379.5376
447,7.075,1,0.05858462,4,142.7128,3,2009,1,2,2,1869.5664
1066,12.792854228644284,2,0.11679292,0,196.211,5,1985,1,2,3,5499.508
1214,8.195,1,0.031452265,0,94.3462,9,1999,1,0,1,925.462
563,7.09,1,0.00721395,0,47.9034,6,2004,2,1,1,583.2408
1398,6.095,1,0.081196619,11,141.4154,8,1997,2,0,1,1418.154
337,19.35,2,0.049916364,6,80.2644,2,2007,1,1,1,942.7728
996,6.15,1,0.04627095,0,99.3384,8,1997,2,0,1,2364.9216
1027,12.792854228644284,2,0.02747716,3,87.9856,5,1985,1,2,3,3251.7672
1032,12.792854228644284,2,0.104704537,6,125.2678,4,1985,2,0,0,254.3356
1465,17.7,1,0.012540003,9,167.0474,6,2004,2,1,1,5895.659
706,17.85,1,0.147023834,1,93.7436,3,2009,1,2,2,1134.5232
36,9.395,1,0.159657596,14,224.972,7,2002,1,1,1,7696.648
140,15.75,1,0.141398626,7,250.5382,2,2007,1,1,1,2775.7202
205,7.475,1,0.148821808,6,241.2854,7,2002,1,1,1,5317.0788
823,7.075,1,0.0,5,98.0068,3,2009,1,2,2,874.8612
1135,6.445,1,0.029691762,0,92.6436,8,1997,2,0,1,1039.9796
1131,19.1,1,0.096715523,6,235.0958,6,2004,2,1,1,3038.0454
303,20.25,2,0.014790559,4,193.6162,6,2004,2,1,1,3848.324
145,15.0,2,0.054378253,3,59.1904,8,1997,2,0,1,527.3136
894,6.67,2,0.123428594,13,89.1514,8,1997,2,0,1,2390.8878
646,12.792854228644284,2,0.029943463,3,60.222,5,1985,1,2,3,1677.816
211,16.7,2,0.052368061,5,112.7176,1,1987,0,2,1,801.6232
385,7.07,1,0.093861144,13,115.5834,7,2002,1,1,1,1267.0174
169,6.48,1,0.033968647,13,148.0076,7,2002,1,1,1,886.8456
240,19.0,2,0.173154079,6,228.272,0,1998,1,2,0,452.744
230,13.35,1,0.139735226,5,147.5392,7,2002,1,1,1,3877.6192
1190,12.792854228644284,1,0.043351896,6,146.6418,5,1985,1,2,3,4414.254
141,12.792854228644284,1,0.042086652,7,122.4388,5,1985,1,2,3,5448.9072
1146,9.695,2,0.12848269,0,223.9404,9,1999,1,0,1,4950.8888
18,15.0,1,0.049357077,14,62.6168,2,2007,1,1,1,958.752
271,11.15,2,0.008326735,4,149.9708,2,2007,1,1,1,1956.1204
223,20.85,1,0.021362955,6,103.2306,9,1999,1,0,1,2404.2038
1368,9.8,1,0.151420934,11,194.3478,0,1998,1,2,0,387.4956
1059,16.35,1,0.032511818,10,165.0842,1,1987,0,2,1,994.7052
1242,9.6,2,0.022323658,1,101.299,7,2002,1,1,1,1754.383
1521,12.792854228644284,1,0.019292355,8,129.9994,5,1985,1,2,3,3340.9844
1065,13.35,1,0.048124443,1,216.7166,7,2002,1,1,1,3918.8988
73,20.7,1,0.09261307,4,76.367,1,1987,0,2,1,306.268
690,12.792854228644284,1,0.094697274,0,158.4604,5,1985,1,2,3,4278.4308
1011,16.2,1,0.035984104,6,260.6278,7,2002,1,1,1,4425.5726
689,12.792854228644284,2,0.056596985,13,230.9984,5,1985,1,2,3,9267.936
263,12.792854228644284,1,0.2047,5,76.867,4,1985,2,0,0,229.701
691,12.792854228644284,2,0.020618324,2,129.3994,5,1985,1,2,3,2055.9904
1433,5.5,1,0.04709821,11,101.3016,8,1997,2,0,1,3339.6528
778,15.1,2,0.087584126,6,221.7456,7,2002,1,1,1,6410.3224
373,15.7,2,0.038078899,5,122.9046,2,2007,1,1,1,1992.0736
617,7.895,4,0.095102092,2,104.4332,2,2007,1,1,1,2870.9296
1206,12.792854228644284,2,0.011953902,3,164.5184,5,1985,1,2,3,2807.0128
839,17.35,2,0.062799379,0,88.183,1,1987,0,2,1,539.298
1542,7.285,1,0.031125709,9,174.3054,1,1987,0,2,1,4377.635
1544,20.25,1,0.026005891,9,180.9976,7,2002,1,1,1,2716.464
520,12.792854228644284,1,0.09246392,13,190.9504,4,1985,2,0,0,383.5008
83,15.85,1,0.107765165,14,59.5904,9,1999,1,0,1,703.0848
597,6.17,1,0.010647477,10,66.3826,9,1999,1,0,1,1937.478
1430,19.5,1,0.015749341,9,182.2608,9,1999,1,0,1,3307.6944
1275,19.2,1,0.077628053,9,197.611,9,1999,1,0,1,3142.576
1137,16.7,1,0.0,3,181.2292,3,2009,1,2,2,2554.0088
773,20.85,2,0.056695731,1,104.0648,3,2009,1,2,2,1869.5664
866,14.5,2,0.063993068,1,260.4594,7,2002,1,1,1,5494.8474
939,11.395,2,0.069529262,10,233.1616,1,1987,0,2,1,6093.4016
77,7.97,1,0.034452949,14,174.0422,8,1997,2,0,1,2586.633
973,7.71,2,0.06670068,13,55.2956,9,1999,1,0,1,1255.6988
446,19.25,2,0.034699737,3,141.7496,8,1997,2,0,1,4093.3384
447,7.075,1,0.058346939,4,142.2128,8,1997,2,0,1,3163.8816
677,12.792854228644284,2,0.065203103,10,166.0816,5,1985,1,2,3,5033.448
455,11.6,2,0.078929571,5,79.9276,8,1997,2,0,1,1137.1864
539,12.792854228644284,1,0.182514881,6,98.77,5,1985,1,2,3,2696.49
134,12.1,1,0.016895293,7,178.566,3,2009,1,2,2,898.83
